Metric,XGBoost,AdaBoost,Random Forest,SVM,kNN,Logistische Regression
accuracy,0.9112903225806451,0.9516129032258065,0.9193548387096774,0.9354838709677419,0.8709677419354839,0.8790322580645161
precision,0.9642857142857143,0.9770114942528736,0.9759036144578314,0.9550561797752809,0.9866666666666667,0.9302325581395349
recall,0.9101123595505618,0.9550561797752809,0.9101123595505618,0.9550561797752809,0.8314606741573034,0.898876404494382
f1,0.9364161849710982,0.9659090909090909,0.9418604651162791,0.9550561797752809,0.9024390243902439,0.9142857142857143
f1_weighted,0.912965380073342,0.9520100195503421,0.921131598689146,0.9354838709677419,0.8762129556779438,0.8804810302379901
roc_auc,0.9531300160513644,0.9658105939004815,0.9656500802568218,0.9707865168539326,0.9014446227929375,0.9444622792937399
percent_diff_accuracy,8.870967741935488,4.8387096774193505,7.079559459300846,4.072613723570353,12.903225806451612,7.392303195900117
percent_diff_precision,3.57142857142857,2.298850574712641,2.409638554216864,2.641817414571036,1.3333333333333308,2.370852975622245
percent_diff_recall,8.98876404494382,4.49438202247191,7.017535803988373,1.4593293669747267,16.85393258426966,4.90093054439463
percent_diff_f1,6.358381502890175,3.409090909090906,4.793957479970731,2.0505733907728803,9.756097560975608,3.6575781391693454
percent_diff_f1_weighted,8.703461992665796,4.798998044965785,6.899867833917621,4.072525898373287,12.378704432205623,7.239592898583813
percent_diff_roc_auc,4.686998394863561,3.4189406099518482,3.4349919743178248,2.7849828657722213,9.855537720706254,4.662265098048463
best_params,"{'clf__gamma': 0.05, 'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 70}","{'clf__estimator': DecisionTreeClassifier(max_depth=4), 'clf__learning_rate': 0.25, 'clf__n_estimators': 21}","{'clf__max_depth': 7, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 3, 'clf__n_estimators': 60}","{'clf__C': 0.5, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}","{'clf__n_neighbors': 3, 'clf__weights': 'uniform'}","{'clf__C': 50, 'clf__max_iter': 500, 'clf__solver': 'lbfgs'}"
