Metric,XGBoost,AdaBoost,Random Forest,SVM,kNN,Logistische Regression
accuracy,0.9112903225806451,0.9354838709677419,0.9032258064516129,0.9274193548387096,0.8629032258064516,0.8145161290322581
precision,0.9534883720930233,0.9550561797752809,0.963855421686747,0.925531914893617,0.9390243902439024,0.9342105263157895
recall,0.9213483146067416,0.9550561797752809,0.898876404494382,0.9775280898876404,0.8651685393258427,0.797752808988764
f1,0.9371428571428572,0.9550561797752809,0.9302325581395349,0.9508196721311475,0.9005847953216374,0.8606060606060606
f1_weighted,0.9123527555078593,0.9354838709677419,0.9053579184269752,0.925619330431599,0.8663288230351047,0.8217350339775524
roc_auc,0.9359550561797754,0.9675762439807384,0.9544141252006421,0.9502407704654896,0.8611556982343501,0.9232744783306581
percent_diff_accuracy,8.870967741935488,6.451612903225811,9.07732973106373,4.606114499206988,13.709677419354838,11.484880565935873
percent_diff_precision,4.651162790697672,4.49438202247191,3.6144578313253017,5.452292987452716,6.0975609756097615,2.2031955697782593
percent_diff_recall,7.86516853932584,4.49438202247191,8.90997117000588,1.2772575515582727,13.48314606741573,13.998187905480378
percent_diff_f1,6.285714285714283,4.49438202247191,6.354578105410022,2.1794514684801602,9.941520467836263,6.535732486573371
percent_diff_f1_weighted,8.764724449214068,6.451612903225811,8.862675613594593,4.79113069014917,13.367117696489528,10.699963435436372
percent_diff_roc_auc,6.404494382022463,3.242375601926162,4.5585874799357935,4.610512536033077,13.884430176564988,4.917204897330998
best_params,"{'clf__gamma': 0.05, 'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 21}","{'clf__estimator': DecisionTreeClassifier(max_depth=4), 'clf__learning_rate': 0.25, 'clf__n_estimators': 21}","{'clf__max_depth': 7, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 3, 'clf__n_estimators': 20}","{'clf__C': 0.5, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}","{'clf__n_neighbors': 3, 'clf__weights': 'uniform'}","{'clf__C': 30, 'clf__max_iter': 500, 'clf__solver': 'lbfgs'}"
