Metric,XGBoost,AdaBoost,Random Forest,SVM,kNN,Logistische Regression
accuracy,0.967741935483871,0.9516129032258065,0.9112903225806451,0.8145161290322581,0.7580645161290323,0.9516129032258065
precision,0.9454545454545454,0.9433962264150944,0.9375,0.8571428571428571,0.7017543859649122,0.9272727272727272
recall,0.9811320754716981,0.9433962264150944,0.8490566037735849,0.6792452830188679,0.7547169811320755,0.9622641509433962
f1,0.9629629629629629,0.9433962264150944,0.8910891089108911,0.7578947368421053,0.7272727272727273,0.9444444444444444
f1_weighted,0.9678102065198838,0.9516129032258065,0.910603206469429,0.8104453099859072,0.7589570317480557,0.9517153097798259
roc_auc,0.989370183364337,0.9896359287802285,0.9794047302684029,0.8849322349189478,0.7576401807068829,0.9877757108689875
percent_diff_accuracy,3.2258064516129004,4.8387096774193505,8.870967741935488,18.54838709677419,24.193548387096776,4.379732392905294
percent_diff_precision,5.454545454545457,5.660377358490565,6.25,14.28571428571429,29.824561403508774,6.862594582739336
percent_diff_recall,1.8867924528301883,5.660377358490565,15.094339622641506,32.07547169811321,24.52830188679245,3.270591983977059
percent_diff_f1,3.703703703703709,5.660377358490565,10.89108910891089,24.210526315789473,27.27272727272727,5.099852566680073
percent_diff_f1_weighted,3.218979348011619,4.8387096774193505,8.939679353057095,18.955469001409277,24.104296825194428,4.369442271476206
percent_diff_roc_auc,1.062981663566298,1.0364071219771454,2.059526973159709,11.506776508105212,24.235981929311713,1.1144458880109576
best_params,"{'clf__gamma': 0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__min_child_weight': 1, 'clf__n_estimators': 200, 'clf__subsample': 0.8}","{'clf__estimator': DecisionTreeClassifier(max_depth=2), 'clf__learning_rate': 0.5, 'clf__n_estimators': 100}","{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}","{'clf__C': 1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}","{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}","{'clf__C': 20, 'clf__max_iter': 200, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
