Metric,XGBoost,AdaBoost,Random Forest,SVM,kNN,Logistische Regression
accuracy,0.7983870967741935,0.7580645161290323,0.75,0.6532258064516129,0.5967741935483871,0.6935483870967742
precision,0.7916666666666666,0.7446808510638298,0.75,0.6041666666666666,0.5294117647058824,0.6415094339622641
recall,0.7169811320754716,0.660377358490566,0.6226415094339622,0.5471698113207547,0.5094339622641509,0.6415094339622641
f1,0.7524752475247525,0.7,0.6804123711340206,0.5742574257425742,0.5192307692307693,0.6415094339622641
f1_weighted,0.7968254692487025,0.7557105492589362,0.7458523929814979,0.650539807107768,0.5956972015439758,0.6935483870967742
roc_auc,0.8365665692266808,0.8315174063247409,0.8343077331916025,0.6914695721498805,0.5919479138984852,0.7507307998937018
percent_diff_accuracy,20.161290322580648,24.193548387096776,25.0,34.67741935483871,40.32258064516129,13.32811958300747
percent_diff_precision,20.833333333333336,25.531914893617024,25.0,39.583333333333336,47.05882352941176,19.699392388871125
percent_diff_recall,28.301886792452834,33.9622641509434,37.735849056603776,45.28301886792453,49.056603773584904,20.051167252958113
percent_diff_f1,24.752475247524753,30.000000000000004,31.958762886597935,42.57425742574258,48.07692307692307,19.87527982091462
percent_diff_f1_weighted,20.317453075129755,24.42894507410638,25.414760701850213,34.946019289223194,40.43027984560242,13.328014840457092
percent_diff_roc_auc,16.343343077331916,16.84825936752591,16.569226680839755,30.85304278501195,40.805208610151475,14.868025577406085
best_params,"{'clf__gamma': 0, 'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__min_child_weight': 1, 'clf__n_estimators': 200, 'clf__subsample': 0.8}","{'clf__estimator': DecisionTreeClassifier(max_depth=3), 'clf__learning_rate': 0.5, 'clf__n_estimators': 100}","{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}","{'clf__C': 1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}","{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}","{'clf__C': 10, 'clf__max_iter': 200, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
